slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology
20,5,52,6,60,2,40,5,50,2,59,2,38,1,20,4,45,1,23,5,82,5,50,5,70,6,50,2,59,3,47,1,50,1,53,2,47,1,50,1,4,3,4,3,4,4,5,5,5,4,3,2,3,5,2,4,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
25,6,25,6,75,1,15,6,8,6,50,3,50,1,3,6,50,1,0,6,75,1,25,6,50,6,50,1,50,6,50,1,25,6,13,6,18,6,62,1,3,1,7,1,1,5,4,4,7,1,7,1,3,5,1,3,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
84,4,55,4,31,3,50,5,23,5,61,4,34,3,17,5,49,3,35,4,56,5,50,3,50,4,30,4,61,4,59,4,28,3,35,3,50,2,62,4,4,4,5,4,5,4,5,5,7,7,5,4,7,5,4,5,7,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,10,3,60,3,85,6,24,2,50,2,19,5,10,4,71,3,10,5,50,4,70,5,12,1,56,3,55,3,78,3,50,3,10,4,45,3,34,5,3,4,4,1,4,4,4,5,3,4,4,4,4,3,3,3,4,4,3,3,1
50,1,44,6,50,1,50,6,50,1,50,1,50,1,50,1,50,1,50,1,50,4,50,5,78,6,50,1,73,4,50,1,54,5,100,6,50,1,50,1,7,1,7,1,7,7,7,7,7,7,3,3,1,7,2,7,3,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
30,4,49,6,61,1,40,5,50,3,40,2,50,1,20,2,50,1,14,5,60,2,50,4,62,5,50,1,50,1,59,1,71,3,70,1,50,1,50,1,3,3,5,3,3,5,5,3,5,3,5,3,3,5,3,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3,35,3,27,3,100,6,77,2,71,1,100,6,22,1,68,3,75,3,100,6,70,3,60,3,58,1,77,5,42,1,58,4,62,3,100,4,26,1,5,5,5,3,2,4,5,4,4,2,4,3,3,3,2,1,2,2,2,1,5
0,6,0,6,50,2,20,6,0,6,50,3,50,4,50,3,50,2,0,6,50,2,0,6,50,4,50,4,50,4,50,3,0,6,50,4,10,5,15,6,1,1,5,1,1,3,1,4,4,1,5,1,3,3,3,4,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,1,45,1,40,1,91,3,50,1,50,1,50,5,50,1,50,1,20,4,54,5,60,5,50,1,50,1,70,3,50,1,50,2,50,2,50,3,50,2,4,7,7,2,7,7,5,7,2,2,1,2,5,4,4,4,4,3,1,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,50,2,88,5,50,1,50,1,50,5,51,2,68,4,33,4,50,2,60,3,50,1,50,1,67,3,50,2,41,2,50,5,60,5,13,6,4,4,5,2,5,5,3,5,4,4,2,4,5,2,4,2,5,4,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4,53,5,35,2,74,5,30,2,50,3,50,6,18,3,59,5,39,6,56,6,53,5,53,1,60,3,52,6,50,2,51,3,50,6,34,6,50,6,2,4,5,1,5,3,2,4,1,1,3,1,5,2,2,1,5,4,1,1,2
25,2,81,4,50,1,41,3,32,2,35,1,47,1,57,2,54,1,32,4,69,3,50,1,72,3,47,1,50,4,19,1,50,2,82,3,43,2,50,1,4,1,5,3,7,7,5,3,5,5,1,3,3,5,3,7,5,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
50,3,50,5,50,1,35,5,50,2,50,1,70,1,69,2,50,1,26,3,50,2,50,2,50,4,50,1,50,3,50,1,50,1,50,3,50,1,50,1,5,4,5,3,4,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,34,2,16,6,100,5,33,3,22,1,72,4,38,2,76,5,14,5,80,4,100,5,63,3,25,3,90,6,30,2,74,4,23,2,6,5,0,6,2,4,5,4,5,3,2,4,5,4,2,4,3,4,5,3,4,3,2,2,5
19,4,50,5,55,1,16,5,15,5,40,3,6,2,11,5,50,2,15,4,90,5,50,5,70,6,37,3,60,4,50,1,67,4,70,4,11,2,70,2,5,1,7,5,5,5,7,5,5,5,1,3,1,5,4,7,4,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,40,2,30,2,90,6,48,2,51,2,70,5,45,4,70,5,35,5,70,5,70,5,30,5,90,4,60,5,90,3,35,3,40,2,30,4,60,3,2,1,3,1,2,2,4,4,2,2,1,2,1,1,2,1,3,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,40,3,30,2,75,5,50,1,55,1,35,5,30,2,80,1,25,3,50,3,70,2,50,1,30,1,60,2,60,3,55,2,50,5,40,2,10,6,5,5,5,2,5,5,4,4,3,3,2,3,5,3,1,3,4,2,2,2,2
33,3,53,6,60,1,20,4,20,4,26,2,21,1,28,2,62,1,9,3,80,4,50,4,69,6,40,2,57,3,29,1,20,3,50,2,10,2,61,1,4,2,5,2,3,5,5,4,4,3,1,3,1,4,3,4,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,50,2,50,3,80,5,49,2,50,2,50,5,50,3,75,4,50,2,50,5,50,5,50,2,50,2,50,5,50,2,50,3,50,2,56,3,50,4,4,4,5,2,5,4,3,3,2,2,3,2,4,3,2,3,3,3,2,1,2
20,3,70,6,35,1,48,5,60,2,15,1,25,2,10,1,50,1,55,2,95,5,49,4,70,5,35,3,70,4,40,1,77,3,50,1,19,3,60,1,7,1,7,2,3,7,5,7,5,5,1,1,1,4,4,5,1,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,22,2,77,5,50,1,50,1,50,4,50,3,71,1,24,4,69,4,50,5,51,1,76,4,25,3,50,1,50,2,50,4,32,5,50,1,3,4,5,1,5,5,2,4,4,5,2,1,4,4,1,5,5,3,2,7,7
40,2,55,6,70,1,35,3,40,3,45,1,40,1,0,4,60,1,40,3,70,3,50,4,70,6,45,1,60,1,50,1,50,1,60,3,45,1,60,1,5,2,3,5,5,5,7,5,5,5,3,4,2,5,2,5,5,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,1,30,1,81,3,100,6,50,1,49,1,73,6,49,1,61,3,51,6,91,6,100,6,50,1,60,4,75,4,50,3,71,4,30,3,82,4,10,1,2,7,3,1,3,7,1,5,1,1,1,1,2,2,1,3,4,3,2,7,3
39,2,51,5,70,1,19,5,8,5,55,1,44,3,42,2,64,1,62,3,92,4,47,2,48,3,75,1,63,2,62,1,26,2,71,3,44,1,63,1,4,2,5,3,3,3,3,3,4,4,5,3,2,4,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
15,4,65,6,68,3,43,3,41,4,35,3,22,2,0,2,47,3,35,3,79,5,50,6,77,6,36,3,69,5,31,3,34,3,75,5,20,3,37,1,4,2,4,3,3,4,4,3,3,3,2,2,2,4,2,3,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
21,5,52,5,45,3,45,6,11,6,53,4,47,3,23,5,43,2,37,3,50,2,20,6,62,6,38,4,48,4,27,3,49,3,37,4,50,4,37,3,3,2,5,1,1,4,2,2,4,2,4,1,3,4,3,4,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
46,4,50,6,61,1,45,4,29,1,50,1,49,1,15,4,50,1,32,3,61,3,50,3,76,6,50,1,50,1,40,1,50,1,50,1,16,3,50,1,4,2,3,3,3,5,3,4,3,3,3,3,2,3,2,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,3,46,6,58,4,47,5,41,4,32,2,44,2,31,1,56,2,50,4,71,4,54,4,71,6,57,3,54,4,53,1,54,3,55,3,43,2,49,2,4,4,3,3,4,5,5,3,3,5,3,3,4,4,4,4,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
