slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,10,4,40,5,80,6,45,4,33,4,51,6,10,6,80,5,1,5,50,6,50,6,62,2,9,6,41,5,57,4,50,4,33,6,39,5,0,6,4,3,4,5,4,4,4,3,4,4,1,4,4,1,3,4,5,3,1,1,6
40,1,30,5,85,1,50,4,50,1,55,1,45,1,25,1,50,1,40,1,85,1,50,1,85,5,40,1,50,2,50,1,50,2,76,1,31,1,50,1,5,4,5,4,5,5,5,5,5,5,5,4,4,5,3,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
27,4,48,6,61,1,25,6,36,4,20,6,50,1,10,3,50,2,21,6,70,1,45,2,60,6,40,4,70,3,50,1,40,3,90,4,45,3,50,1,3,1,5,1,3,4,3,2,4,1,2,1,1,3,1,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,31,1,11,3,80,6,50,1,50,1,39,6,31,2,76,2,31,2,62,2,69,3,50,1,50,1,50,1,61,2,61,2,50,6,61,3,34,2,3,4,7,2,7,4,4,4,2,3,4,3,4,4,4,3,3,4,1,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,40,1,90,6,30,2,50,1,50,6,20,3,90,6,20,6,70,6,100,6,50,1,75,3,80,6,60,1,60,2,50,4,50,4,0,6,2,5,7,1,5,5,3,4,1,1,5,1,4,1,1,3,3,4,2,5,1
45,2,45,5,59,1,39,3,25,3,33,1,40,1,50,1,65,1,25,3,89,4,50,2,66,5,40,1,40,3,45,1,50,2,66,2,39,3,56,2,5,3,7,5,5,7,5,7,4,5,4,4,4,7,5,7,4,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,2,39,5,56,2,37,3,50,1,50,2,45,1,50,2,55,2,38,3,70,4,50,3,80,6,46,3,55,2,44,1,45,3,61,2,37,2,63,2,4,3,4,4,4,4,5,4,5,5,1,2,1,5,4,5,5,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,39,4,10,4,81,5,36,3,27,4,9,5,37,,51,5,4,5,60,4,60,4,24,3,63,4,29,5,27,5,27,5,30,3,24,5,23,4,5,7,5,4,7,5,3,4,4,3,2,4,5,4,3,3,5,3,2,3,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,20,4,92,6,50,1,50,1,50,6,28,5,88,5,40,4,50,4,62,4,53,3,36,4,62,4,53,3,50,4,50,3,51,4,4,6,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,2
26,4,64,6,63,4,59,5,37,4,71,2,59,2,22,5,45,2,56,3,64,6,64,5,45,6,56,5,57,5,61,2,47,3,60,4,45,4,44,1,4,2,5,2,7,5,4,7,7,4,1,1,1,7,4,4,5,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2,30,3,8,4,55,3,53,2,36,4,8,5,45,2,81,3,0,6,52,3,60,3,55,2,11,2,16,4,86,3,83,4,16,5,5,5,8,3,4,4,4,3,4,3,2,4,4,3,1,4,5,3,2,4,5,2,1,2,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2,50,1,15,5,90,5,50,1,60,1,40,3,50,4,65,3,55,4,60,5,80,5,50,1,65,3,70,4,50,2,60,2,64,3,75,4,30,4,3,4,5,2,5,3,4,4,2,3,2,2,4,3,3,2,4,5,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,3,30,2,32,4,100,6,48,4,62,1,61,4,40,5,95,5,30,5,83,6,89,6,50,1,53,1,60,1,86,3,71,5,24,5,71,6,100,6,2,4,5,1,4,4,4,4,1,1,2,1,3,2,5,2,2,5,1,1,2
30,4,40,6,75,1,35,6,36,5,75,1,40,3,50,1,60,1,34,3,76,1,38,5,61,6,39,1,51,2,50,1,50,4,44,1,42,3,50,1,3,3,7,4,4,7,5,7,5,4,5,3,5,7,4,7,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,30,1,70,1,80,3,60,1,57,1,30,5,30,3,70,5,10,6,55,5,20,5,40,1,5,5,25,5,55,2,27,4,44,5,5,6,44,4,2,5,5,4,5,5,2,3,2,2,1,2,5,2,2,4,4,3,2,5,6
1,6,46,5,50,2,3,6,1,6,26,2,50,3,6,5,50,2,2,6,70,3,41,4,64,2,28,3,50,6,50,1,57,2,50,5,50,2,19,5,1,1,5,1,1,5,3,2,5,1,5,2,4,3,1,5,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2,50,1,40,1,75,3,40,1,50,1,20,4,45,1,60,1,45,1,60,4,50,3,50,1,32,1,50,2,50,1,65,2,60,3,67,2,79,5,3,4,7,2,7,7,5,7,3,4,4,5,7,4,5,5,5,4,3,2,3
29,4,80,6,50,1,63,5,49,2,50,2,57,1,20,4,64,2,38,4,100,6,70,4,84,6,50,2,68,2,35,1,90,6,100,6,53,2,59,1,5,1,5,3,4,5,5,3,4,4,1,2,1,5,2,7,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,2,51,5,52,2,52,2,51,2,52,2,53,2,50,2,52,2,51,2,53,2,51,2,74,5,53,2,53,2,55,2,51,2,81,5,53,2,54,2,5,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,30,4,70,5,90,6,50,4,40,5,70,6,50,5,70,6,17,4,75,6,40,6,71,3,70,5,60,5,61,4,60,4,21,4,60,6,10,5,2,4,4,1,5,4,3,5,2,2,2,2,4,2,4,3,4,4,1,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2,59,2,27,3,74,4,76,3,58,2,21,4,37,3,73,3,30,4,62,4,64,4,46,2,30,3,67,4,59,3,58,3,55,3,28,4,17,5,3,3,5,3,3,4,4,4,4,3,3,3,4,4,4,3,4,3,3,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,35,1,15,1,90,5,50,1,50,1,50,6,10,1,92,3,10,4,70,4,70,4,50,1,70,1,70,4,50,1,60,3,50,5,50,4,1,6,4,4,7,3,7,5,4,5,2,3,4,2,7,3,4,4,4,4,2,3,1
24,1,50,6,59,1,36,2,47,1,50,1,50,1,36,2,50,1,37,1,65,2,44,1,60,6,50,1,50,1,50,1,50,1,58,4,50,1,50,1,7,1,7,4,4,7,7,7,5,7,7,5,7,7,5,4,5,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2,40,3,30,4,75,6,65,1,45,1,10,6,15,5,65,5,5,6,40,6,20,6,55,1,5,6,10,6,65,2,68,3,35,5,2,6,10,5,5,4,3,4,5,5,1,3,2,3,1,2,5,1,1,4,4,2,1,2,6
61,4,50,4,74,1,50,4,31,3,75,3,16,2,25,3,56,3,36,3,91,5,50,4,70,6,67,4,43,3,56,2,38,3,50,2,26,2,24,3,4,1,4,2,3,3,5,4,5,4,1,5,1,3,1,2,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
36,2,49,5,65,1,32,3,48,2,58,1,50,1,25,2,53,1,35,4,75,3,42,3,73,6,48,1,41,3,46,1,48,2,61,2,37,2,59,1,5,2,5,4,4,5,5,5,4,4,3,3,2,5,2,5,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,55,2,24,3,90,6,50,1,50,1,75,5,20,5,76,4,85,5,80,5,80,6,50,1,65,2,80,4,76,4,50,3,80,5,60,5,40,6,4,4,5,1,5,4,1,4,2,3,1,1,4,3,1,2,4,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,50,1,40,1,95,6,50,1,60,1,45,5,35,1,65,2,20,4,50,5,50,6,60,1,60,2,50,1,50,2,50,2,20,1,45,2,15,2,4,5,7,2,7,7,5,5,3,3,5,4,7,4,7,4,5,5,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,2,50,3,29,3,82,5,42,1,50,1,31,6,19,4,66,3,7,6,50,4,55,3,50,1,77,5,12,6,48,3,60,4,4,6,1,6,0,6,5,5,4,4,5,5,1,4,3,4,1,3,5,3,1,3,5,1,1,1,7
37,5,50,6,70,2,40,4,50,2,50,1,50,1,41,2,50,1,40,4,65,4,49,5,68,4,50,1,50,1,50,1,50,1,50,1,50,1,40,2,4,2,5,2,5,3,4,4,3,4,3,2,3,3,3,4,4,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,50,1,39,2,85,4,38,2,53,1,40,3,43,2,75,5,56,3,51,3,50,3,60,1,56,2,50,1,66,2,55,2,43,2,67,4,60,4,4,4,4,1,4,3,5,3,1,3,1,2,2,1,4,1,3,3,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2,40,2,19,2,10,3,40,4,50,1,41,3,26,2,55,2,15,3,50,2,50,2,50,1,48,1,50,2,50,1,55,2,45,3,50,2,4,4,3,5,7,1,5,5,4,7,4,5,4,4,7,3,4,3,5,5,2,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,60,1,60,3,90,5,50,1,50,1,50,5,50,3,90,5,20,5,50,6,80,5,70,1,90,4,80,3,70,1,50,3,50,3,50,4,50,3,3,4,4,1,4,4,5,4,2,3,2,3,3,2,2,3,4,3,2,2,1
46,2,46,6,47,2,50,6,40,3,65,3,50,1,35,3,50,2,50,4,81,6,49,4,79,6,50,2,57,5,44,1,47,6,86,6,41,3,57,1,3,3,4,3,4,3,4,4,4,3,2,3,1,2,2,3,3,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
25,2,58,6,63,2,50,5,50,2,52,3,50,1,45,1,50,1,50,3,75,5,50,3,56,5,50,2,55,3,50,1,50,2,59,3,50,1,50,1,5,1,4,3,5,5,5,5,5,4,1,3,1,4,2,4,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1,38,2,21,3,94,6,44,1,50,1,50,4,21,3,50,3,50,6,50,5,60,6,50,1,50,2,50,3,51,2,50,2,50,2,61,5,25,4,4,4,4,1,4,4,3,5,3,4,1,1,4,3,3,4,4,3,1,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,30,4,25,6,85,6,30,2,35,1,35,6,20,6,30,6,9,6,71,6,65,6,50,1,36,4,25,6,40,3,50,6,30,6,10,6,5,6,4,5,5,5,7,7,2,3,2,4,2,3,4,4,2,3,4,2,1,1,7
35,5,45,6,50,2,25,5,20,2,50,2,40,2,35,2,50,3,35,4,70,5,50,6,90,6,35,3,50,3,50,3,50,4,75,5,20,5,50,2,4,1,4,4,5,4,5,4,3,4,1,3,1,5,4,5,3,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,3,66,6,58,2,30,3,22,3,55,2,19,2,32,1,29,1,20,3,77,5,35,4,73,6,33,1,54,4,34,2,43,4,91,6,12,1,73,3,4,1,5,5,7,4,7,5,7,7,1,3,1,7,1,5,5,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,3,50,6,72,3,50,5,50,1,29,4,50,1,33,2,50,1,34,3,97,4,50,3,65,6,50,1,50,1,50,1,68,4,55,3,49,1,28,1,7,2,4,3,5,4,7,5,5,7,1,2,4,7,7,3,5,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
62,4,55,6,72,1,31,5,20,4,87,2,60,1,12,1,86,2,32,2,100,6,43,6,76,6,54,1,64,6,50,1,80,5,76,4,50,3,68,2,4,1,2,2,5,4,7,4,2,7,1,2,1,5,4,7,2,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,3,29,3,60,3,50,5,39,3,60,2,48,2,15,5,61,2,35,3,89,5,49,2,68,6,51,2,68,4,51,2,61,4,62,4,42,2,61,2,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
45,4,60,6,55,2,34,5,27,4,67,2,20,2,25,3,64,2,31,4,90,6,50,5,45,6,65,5,50,4,50,1,45,4,83,6,14,5,89,2,4,1,7,4,4,4,5,5,5,5,1,1,1,4,3,5,5,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1,46,1,7,3,82,6,32,1,50,1,50,6,14,4,38,2,45,4,61,6,76,6,36,1,42,1,95,6,54,1,65,2,96,6,54,4,30,5,4,4,7,1,5,5,1,7,5,1,1,1,7,5,1,5,4,1,1,1,1
40,4,48,5,61,1,40,5,21,6,60,2,44,4,49,2,45,2,44,4,53,3,50,2,60,3,42,3,47,4,37,2,49,4,48,4,47,5,49,4,3,1,4,2,1,4,3,2,2,2,3,2,3,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
50,2,45,5,75,2,50,6,50,2,50,1,75,5,50,1,65,1,75,4,75,5,50,2,100,6,65,4,65,5,50,2,50,4,80,4,75,4,40,1,5,4,5,3,3,5,4,5,5,4,3,5,1,4,3,4,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
70,2,50,5,80,2,40,3,70,3,50,2,50,3,50,2,50,2,24,3,50,2,50,3,50,5,50,2,50,3,50,2,40,4,50,2,45,2,50,1,5,2,5,2,2,4,2,3,5,3,5,3,3,5,4,5,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
35,3,90,6,95,3,50,6,34,2,60,2,40,1,30,2,60,1,20,4,100,6,65,4,100,6,65,3,60,3,30,2,90,4,100,6,10,2,80,2,5,1,5,2,5,4,4,3,4,5,2,2,1,5,2,5,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4,30,4,40,2,100,6,20,4,50,3,30,6,30,6,100,6,9,6,58,6,60,6,40,3,30,3,80,6,49,5,30,5,50,4,20,5,20,6,3,5,7,1,5,5,3,4,1,1,1,2,5,2,2,4,5,3,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,49,3,69,4,50,4,50,2,50,2,11,6,50,4,10,6,5,6,13,6,1,6,50,2,50,2,4,6,22,6,1,6,50,4,6,6,2,6,4,5,5,3,5,5,2,4,2,4,1,4,4,3,1,3,3,2,1,1,5
25,5,75,6,50,2,20,6,15,3,25,3,20,2,5,3,60,2,5,2,85,5,50,6,80,6,45,5,80,6,15,2,70,5,95,6,15,4,65,2,5,2,5,3,5,5,5,4,4,5,3,3,1,5,1,5,2,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1,50,1,50,1,80,2,40,1,50,1,50,2,36,2,50,1,25,4,50,3,40,3,50,1,40,1,62,1,50,1,62,1,50,2,50,2,27,3,4,5,5,4,5,5,4,4,4,4,2,4,4,3,5,4,4,4,3,3,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,2,24,3,49,1,51,1,9,5,73,2,50,2,65,3,76,4,60,3,50,2,60,4,50,1,78,5,67,3,73,2,33,2,16,2,89,5,8,4,4,7,7,7,5,4,4,3,3,3,4,4,5,3,4,3,5,5,2,7,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,21,1,20,3,87,5,18,1,20,1,40,5,9,1,70,3,8,1,50,4,60,3,50,1,29,2,40,4,41,1,50,3,50,3,77,5,10,4,4,4,5,2,7,5,5,5,4,4,4,4,4,3,5,4,4,5,2,4,3
32,2,,5,61,2,48,4,36,2,39,2,35,1,25,2,43,2,34,3,69,3,51,3,69,5,33,2,44,3,47,2,41,3,57,2,39,2,39,1,4,1,4,2,2,4,4,4,4,4,2,2,1,4,3,4,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3,51,3,31,3,66,3,50,2,58,2,43,6,49,2,75,3,30,5,50,6,60,3,40,1,64,3,56,4,50,2,60,4,50,2,43,4,31,4,5,4,5,2,7,4,3,5,2,3,1,3,2,2,4,2,3,3,1,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,66,2,88,1,28,3,50,1,63,1,50,5,37,4,24,5,71,2,26,5,41,5,50,1,50,1,21,3,61,2,50,3,73,4,50,4,21,5,2,5,5,4,5,5,5,4,3,4,2,4,4,3,4,2,5,2,3,3,4
50,4,60,6,50,3,40,4,44,4,48,4,30,3,35,4,51,2,41,4,75,5,50,4,70,6,50,4,43,4,44,3,50,4,56,4,40,4,50,3,3,3,5,4,4,5,4,3,5,4,2,3,2,4,4,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4,40,3,20,5,80,5,50,3,60,3,40,5,30,3,80,5,15,5,55,6,80,6,20,2,85,5,40,3,45,3,80,5,50,6,40,5,10,6,3,3,7,3,4,4,4,4,4,2,5,2,5,3,4,2,4,4,4,7,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,1,50,1,28,1,35,1,50,1,50,1,9,5,0,6,50,1,0,1,36,5,2,6,50,1,25,2,7,5,50,1,50,1,50,1,3,6,8,4,1,2,2,1,3,3,1,1,1,1,1,1,3,1,1,3,3,1,1,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,35,3,50,2,80,4,50,2,60,4,25,1,35,1,75,4,60,4,60,5,70,5,50,1,80,4,50,4,60,3,45,4,40,3,65,4,25,3,4,5,7,3,5,5,7,5,3,5,2,5,5,4,3,3,5,5,4,5,2
35,2,45,6,70,1,35,3,50,1,40,1,45,1,40,2,66,1,25,4,73,4,50,6,67,6,50,1,60,5,50,1,50,5,92,5,45,1,50,2,5,3,5,3,4,5,5,5,5,4,4,3,2,5,4,5,4,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2,26,2,32,3,100,6,30,2,50,1,50,6,41,4,82,4,30,5,50,5,60,5,50,1,81,4,54,5,50,2,50,3,50,4,50,5,40,5,2,2,4,1,5,4,5,3,1,2,1,1,2,1,1,1,4,5,1,2,1
15,4,49,6,65,1,20,6,25,5,46,1,5,3,27,1,54,1,13,4,75,2,36,3,60,1,45,1,35,3,35,1,41,2,40,2,17,4,55,1,5,1,5,1,3,4,4,4,4,3,5,4,5,4,2,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4,25,2,12,4,37,3,74,2,17,2,7,5,35,3,79,3,6,5,46,5,42,4,64,2,33,2,25,4,59,2,82,3,39,5,6,5,35,5,4,5,5,5,5,5,2,5,4,4,2,3,5,5,3,4,5,2,2,3,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,75,1,25,4,90,6,75,3,70,2,60,4,82,2,85,6,15,3,80,6,40,6,10,4,50,1,90,6,90,3,90,5,50,6,50,3,20,4,1,4,7,1,7,5,4,5,1,1,2,1,5,3,2,1,2,1,1,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2,40,2,43,3,49,5,35,2,65,2,50,6,20,3,70,4,10,6,50,4,45,3,50,2,25,3,50,3,50,2,55,3,30,6,50,3,5,5,5,4,4,2,5,5,3,3,3,4,2,4,4,3,3,3,3,3,2,3,6
18,5,50,6,56,1,21,6,21,6,44,3,40,2,17,5,53,2,21,6,61,3,50,3,51,6,21,3,50,3,43,2,64,3,75,5,43,5,67,2,5,1,5,1,4,5,5,5,5,4,4,4,5,5,2,4,3,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,4,40,4,40,5,90,6,50,3,50,3,40,6,30,4,80,5,10,4,50,5,70,5,50,3,80,4,60,5,50,4,60,5,40,4,50,4,10,6,4,5,7,2,7,4,5,5,3,3,4,4,5,2,5,4,4,3,4,4,2
29,3,20,3,67,1,16,4,51,2,50,2,68,3,68,4,30,3,34,3,60,3,25,3,50,3,63,3,60,4,50,1,38,3,57,3,61,3,40,2,4,3,5,1,2,2,4,5,5,4,4,3,3,5,2,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
50,2,50,3,75,1,34,4,37,2,50,1,35,1,50,1,65,1,58,1,74,1,40,6,82,4,50,1,50,1,38,1,37,2,50,1,28,3,41,1,7,5,7,3,4,5,7,5,4,5,7,3,5,5,5,3,4,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
52,2,50,6,75,5,45,6,45,1,80,4,20,1,30,1,75,2,30,1,95,6,50,5,75,6,70,4,50,6,50,3,70,6,100,6,20,1,50,2,4,1,2,7,7,4,7,7,2,5,2,1,1,5,3,2,1,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
